class,value
n,3.918358065
n,2.556974472
n,5.834538005
n,2.255195523
n,4.443103644
n,3.189654062
n,3.117656139
n,2.941597833
n,3.587362354
n,4.474603822
n,4.481849627
n,1.933735926
n,4.115520836
n,3.508196398
n,3.14612891
n,3.189886657
n,3.274766548
n,3.023173768
n,1.972200115
n,4.451966237
n,1.779408238
n,2.670372299
n,3.129390064
n,3.902226256
n,-0.071511892
n,4.503468249
n,3.10556191
n,1.264935297
n,3.305167748
n,4.41852388
n,2.379668319
n,3.918409726
n,3.37391688
n,4.425410425
n,2.820276055
n,4.101308574
n,2.652868788
n,1.986947925
n,2.711665696
n,2.254069158
n,2.568996348
n,2.917141991
n,3.305726013
n,4.455326377
n,4.989871061
n,3.567723688
n,1.683106707
n,2.507879444
n,4.390189816
n,3.767048266
n,4.074588392
n,3.103132665
n,1.065690547
n,3.893005987
n,2.430677942
n,3.100768368
n,3.31388633
n,4.580086645
n,3.693050556
n,1.239882705
n,3.443214178
n,2.323949029
n,1.12805943
n,3.651174295
n,3.652700785
n,3.024348515
n,2.939394015
n,2.767767115
n,0.6792924
n,3.37606679
n,1.75729913
n,2.237351079
n,3.963016625
n,5.046780214
n,3.253672079
n,2.608567687
n,1.926460614
n,1.282945823
n,1.97505383
n,2.313625275
n,3.931362351
n,3.133903922
n,2.532034981
n,4.158594624
n,2.394215217
n,3.933319705
n,2.331452372
n,3.049118001
n,3.277439156
n,1.619614858
n,3.307749128
n,3.994090049
n,3.902458391
n,3.862161782
n,2.812507878
n,1.673871622
n,4.717382097
n,0.209070088
n,2.513619426
n,3.688421664
s,3.545811234
s,3.971898473
s,3.214781182
s,4.665709135
s,2.482837074
s,3.665906158
s,2.818620305
s,6.778006219
s,2.840052915
s,2.07233642
s,4.029500035
s,4.323163418
s,3.80359477
s,2.478527095
s,4.011576494
s,3.214232561
s,2.403837344
s,3.117199314
s,3.814991342
s,3.229801044
s,6.22718678
s,2.946405023
s,3.296440741
s,3.3068215
s,3.095534486
s,4.639875122
s,2.411270568
s,5.116175429
s,3.168601911
s,4.544762191
s,5.304003409
s,2.976343346
s,2.790949781
s,6.124271764
s,3.772251725
s,2.581439992
s,3.141580761
s,4.702577806
s,2.910000338
s,2.444267986
s,3.471044118
s,5.170526633
s,3.178454379
s,3.783936343
s,3.469834646
s,2.415792501
s,3.881302718
s,2.258262215
s,3.0652338
s,2.588406302
s,3.413803783
s,3.20291432
s,3.300868984
s,5.163727994
s,2.626390998
s,3.112692342
s,3.40807256
s,4.021033343
s,3.849362235
s,2.973421184
s,2.196010109
s,3.401510278
s,2.711972648
s,2.587618646
s,3.481492646
s,3.684555923
s,7.146203657
s,2.439150014
s,4.4004305
s,5.409413394
s,2.890584927
s,3.95811522
s,2.915729416
s,3.248748037
s,2.728933869
s,4.373532217
s,3.789702289
s,2.462272882
s,2.949512239
s,4.163378652
s,2.410244322
s,4.108843024
s,3.569694862
s,2.85313392
s,2.588047737
s,2.921662884
s,3.819963343
s,3.248029391
s,2.966593449
s,3.282577555
s,3.535273384
s,3.183772822
s,5.221130767
s,3.021361779
s,2.922065531
s,2.773554703
s,4.500025021
s,3.067095933
s,2.203738222
s,2.703399795
k,3.174098714
k,2.4080365
k,3.015453781
k,4.212765248
k,2.684897879
k,2.014065683
k,2.249255205
k,2.647365205
k,3.413817194
k,3.910666277
k,2.830053421
k,3.238548037
k,2.559767648
k,4.063824935
k,2.63829279
k,2.385060193
k,3.746949099
k,2.996148925
k,3.36251572
k,3.561919691
k,2.799354262
k,2.752955532
k,3.399464076
k,2.421380534
k,3.013549279
k,4.018380651
k,3.385151427
k,3.834423932
k,2.844409908
k,3.071990636
k,2.595887933
k,3.111149364
k,3.334282169
k,3.679159303
k,4.832150403
k,5.087451053
k,2.171954908
k,4.157129931
k,3.018428239
k,3.185015341
k,5.038417365
k,2.233962092
k,2.725893348
k,3.23864372
k,3.216190432
k,2.838563059
k,2.093333188
k,6.656708405
k,5.098515477
k,4.076577709
k,3.714042363
k,2.419118775
k,3.144375256
k,4.817166935
k,3.362162129
k,2.884709259
k,3.348653125
k,3.126173347
k,3.095018544
k,2.635787605
k,4.52772903
k,2.698687423
k,4.227608651
k,1.703805739
k,2.793216767
k,2.888443447
k,2.632560152
k,3.226628461
k,3.017198775
k,2.963867728
k,2.803289908
k,2.595614545
k,3.166717257
k,6.043338992
k,2.501916386
k,2.613082717
k,4.244495299
k,3.360622023
k,3.766844489
k,2.41772192
k,2.797451243
k,3.335675201
k,2.438838091
k,2.428596129
k,3.2056239
k,3.010518493
k,2.950082133
k,2.859426129
k,3.109180951
k,2.537159819
k,4.979528445
k,2.370591863
k,2.706587434
k,3.714536159
k,2.192015964
k,2.657146683
k,3.351120384
k,2.76670888
k,3.909853179
k,5.492348688
mm,1.62438204
mm,1.611303842
mm,1.235048523
mm,1.313445616
mm,1.84954199
mm,1.633329057
mm,1.933264315
mm,2.115553284
mm,1.44198165
mm,1.845954617
mm,1.446127274
mm,2.194777028
mm,1.758875703
mm,1.841203794
mm,1.862634253
mm,1.709522968
mm,2.321449233
mm,1.90107595
mm,2.597293939
mm,1.338262115
mm,2.21120529
mm,1.466654042
mm,1.856028032
mm,2.080204917
mm,2.235965255
mm,1.220503799
mm,2.113154285
mm,1.745671341
mm,1.78688126
mm,1.931387094
mm,1.850742611
mm,2.071480403
mm,2.227170188
mm,1.845947976
mm,1.913844158
mm,1.79480744
mm,2.024034425
mm,1.614837334
mm,1.726707487
mm,2.21848613
mm,1.467230753
mm,2.239955175
mm,1.657055779
mm,1.670180552
mm,1.484357963
mm,1.971007216
mm,2.502898522
mm,2.067753981
mm,1.58103239
mm,2.367880187
mm,3.534722864
mm,4.23581696
mm,3.626193783
mm,3.380247047
mm,4.022074054
mm,3.578179448
mm,3.703610644
mm,3.906529417
mm,4.13604941
mm,4.036212515
mm,3.999646314
mm,3.79620658
mm,3.043329067
mm,4.083250568
mm,3.826947793
mm,4.064376335
mm,3.528111644
mm,3.556626982
mm,4.31491882
mm,3.693232766
mm,3.655758206
mm,3.726667067
mm,3.785859624
mm,3.765388143
mm,3.68161494
mm,3.102289771
mm,3.609855399
mm,3.791846505
mm,3.422939282
mm,3.554495165
mm,3.501913159
mm,3.356855907
mm,4.226346181
mm,3.767882028
mm,3.760939992
mm,4.115745811
mm,3.785643882
mm,4.085614212
mm,3.477358391
mm,3.874745212
mm,3.654941363
mm,3.264423354
mm,3.032196547
mm,4.056494782
mm,3.071014003
mm,3.352822514
mm,3.571256964
mm,3.932317644
mm,4.335818112
mm,3.704271615
